Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN,Algorithm,Ngrams,Feature Extraction,Training Dataset,Test Dataset,Test Distribution,F_Question_mark,Binary Representation,Stop words,Additional Settings,Fitting Time,Prediction Time
0.5413498098859315,0.5336585365853659,0.9918404351767905,0.6939422771963211,1094.0,45.0,956.0,9.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,False,,True,1.1170117855072021,0.293215274810791
0.896804562324613,0.8956918209732949,0.9980300673924313,0.9440957238132602,9626.0,281.0,1121.0,19.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,,False,1.727302074432373,4.598060369491577
0.896804562324613,0.8956918209732949,0.9980300673924313,0.9440957238132602,9626.0,281.0,1121.0,19.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,,False,1.727302074432373,4.659170627593994
0.5313688212927756,0.5280306660277911,0.99909338168631,0.6909090909090909,1102.0,16.0,985.0,1.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,False,,False,1.727302074432373,0.4966704845428467
0.916538426722187,0.9174882741456878,0.9937791601866252,0.9541110889906431,9585.0,540.0,862.0,60.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,True,1.049194574356079,2.8226358890533447
0.916538426722187,0.9174882741456878,0.9937791601866252,0.9541110889906431,9585.0,540.0,862.0,60.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,True,1.049194574356079,2.879462480545044
0.5494296577946768,0.538046146293569,0.9936536718041704,0.6980891719745222,1096.0,60.0,941.0,7.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,english,True,1.049194574356079,0.27227139472961426
0.8992486647958722,0.8976510067114094,0.9984447900466563,0.9453688705639818,9630.0,304.0,1098.0,15.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,False,1.6030220985412598,4.158308267593384
0.8992486647958722,0.8976510067114094,0.9984447900466563,0.9453688705639818,9630.0,304.0,1098.0,15.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,False,1.6030220985412598,4.160210609436035
0.532319391634981,0.5285098227120268,1.0,0.6915360501567398,1103.0,17.0,984.0,0.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,english,False,1.6030220985412598,0.4617648124694824
